code,description,conc_conversion_flag,conc_conversion_value_multiplier,conc_conversion_unit
fg/org,femtograms per organism,FALSE,NA,NA
fibers/L,fibers per liter,FALSE,NA,NA
final:initial,ratio of initial parameter to final parameter,FALSE,NA,NA
fl,femtoliters,FALSE,NA,NA
fl oz,fluid ounces,FALSE,NA,NA
fl oz mat/cwt,fluid ounces material per hundredweight,FALSE,NA,NA
fl oz/10 gal,fluid ounces per 10 gallons,FALSE,NA,NA
fl oz/10 gal/1k sqft,fluid ounces per 10 gallons per 1000 square feet,FALSE,NA,NA
fl oz/100 gal,fluid ounces per 100 gallons,FALSE,NA,NA
fl oz/1000 6 in pots,fluid ounces per 1000 6-inch pots,FALSE,NA,NA
fl oz/1000 ft,fluid ounces per 1000 feet,FALSE,NA,NA
fl oz/1000 ft2,fluid ounces per 1000 square feet,FALSE,NA,NA
fl oz/50 gal/acre,fluid ounces per 50 gallons per acre,FALSE,NA,NA
fl oz/acre,fluid ounces per acre,FALSE,NA,NA
fl oz/cwt,fluid ounces per hundredweight,FALSE,NA,NA
fl oz/eu,fluid ounces per experimental unit,FALSE,NA,NA
fl oz/gal,fluid ounces per gallon,FALSE,NA,NA
fl oz/in dbh,fluid ounces per inches diameter at breast height,FALSE,NA,NA
fledge/pair,fledglings/pair or young fledged/pair,FALSE,NA,NA
fmol,femtomol,FALSE,NA,NA
fmol/mg,femtomol per milligram,FALSE,NA,NA
fmol/mg pro,femtomol per milligram protein,FALSE,NA,NA
fr,frames (bees),FALSE,NA,NA
g,grams,FALSE,NA,NA
g GAIN/g diet/d,grams weight gained per gram diet per day,FALSE,NA,NA
g GAIN/kg diet,grams weight gained per kilogram diet,FALSE,NA,NA
g H2O/dm2/h,grams H2O per squared decameter per hour,FALSE,NA,NA
g TI/100 g bdwt,grams tissue per 100 grams bodyweight,FALSE,NA,NA
g bt,grams bait,FALSE,NA,NA
g bt/eu,grams bait per experimental unit,FALSE,NA,NA
g bt/m2,grams bait per square meter,FALSE,NA,NA
g d/m3,grams day per cubic meter,FALSE,NA,NA
g diet,grams diet,FALSE,NA,NA
g h/m3,grams hours per cubic meter,FALSE,NA,NA
g%,gram percent,FALSE,NA,NA
g% w/v,gram percent on a weight per volume basis,FALSE,NA,NA
g/0.1 ha,grams per 0.1 hectare,FALSE,NA,NA
g/0.25 acre,grams per 0.25 acres,FALSE,NA,NA
g/0.4 ha,grams per 0.4 hectare,FALSE,NA,NA
g/0.5 m2,grams per 0.5 meters squared,FALSE,NA,NA
g/0.76 m3 soil,grams per 0.76 cubic meter soil,FALSE,NA,NA
g/1.2 kg soil,grams per 1.2 kilograms soil,FALSE,NA,NA
g/1.4 kg soil,grams per 1.4 kilograms soil,FALSE,NA,NA
g/1.6 kg soil,grams per 1.6 kilograms soil,FALSE,NA,NA
g/1.7 kg soil,grams per 1.7 kilograms soil,FALSE,NA,NA
g/1.8 kg sd,grams per 1.8 kilograms seed,FALSE,NA,NA
g/1.8 kg soil,grams per 1.8 kilograms soil,FALSE,NA,NA
g/10 L,grams per 10 liters,FALSE,NA,NA
g/10 L soil,grams per 10 liters soil,FALSE,NA,NA
g/10 acre,grams per 10 acres,FALSE,NA,NA
g/10 ft,grams per 10 feet,FALSE,NA,NA
g/10 g diet,grams per 10 grams diet,FALSE,NA,NA
g/10 gal/acre,grams per 10 gallons per acre,FALSE,NA,NA
g/10 kg diet,grams per 10 kilograms diet,FALSE,NA,NA
g/10 kg eu,grams per 10 kilograms experimental unit,FALSE,NA,NA
g/10 m,grams per 10 meters,FALSE,NA,NA
g/10.2 L,grams per 10.2 liters,FALSE,NA,NA
g/100 L,grams per 100 liters,FALSE,NA,NA
g/100 L diet,grams per 100 liters diet,FALSE,NA,NA
g/100 L soil,grams per 100 liters of soil,FALSE,NA,NA
g/100 cm3,grams per 100 cubic centimeters,FALSE,NA,NA
g/100 g,grams per 100 grams,FALSE,NA,NA
g/100 g BW,grams per 100 grams body weight,FALSE,NA,NA
g/100 g BW/d,grams per 100 grams body weight per day,FALSE,NA,NA
g/100 g bdwt/h,grams per 100 grams per bodyweight/hour,FALSE,NA,NA
g/100 g diet,grams per 100 grams diet,FALSE,NA,NA
g/100 g org,grams per 100 grams organism,FALSE,NA,NA
g/100 g sd,grams per 100 grams seed,FALSE,NA,NA
g/100 gal,grams per 100 gallons,FALSE,NA,NA
g/100 kg,grams per 100 kilograms,FALSE,NA,NA
g/100 kg org,grams per 100 kilograms organism,FALSE,NA,NA
g/100 kg sd,grams per 100 kilograms seed,FALSE,NA,NA
g/100 le,grams per 100 leaves,FALSE,NA,NA
g/100 m,grams per 100 meters,FALSE,NA,NA
g/100 m2,grams per 100 square meters,FALSE,NA,NA
g/100 ml,grams per 100 milliliters,FALSE,NA,NA
g/100 sd,grams per 100 seeds,FALSE,NA,NA
g/100 stl,grams per 100 stolons,FALSE,NA,NA
g/1000 L,grams per 1000 liters,FALSE,NA,NA
g/1000 ft,grams per 1000 feet,FALSE,NA,NA
g/1000 ft2,grams per 1000 square feet,FALSE,NA,NA
g/1000 ft3,grams per 1000 cubic feet,FALSE,NA,NA
g/1000 g,grams per 1000 grams,FALSE,NA,NA
g/1000 g diet,grams per 1000 grams diet,FALSE,NA,NA
g/1000 gr,grams per 1000 grains,FALSE,NA,NA
g/1000 kg diet,grams per 1000 kilograms diet,FALSE,NA,NA
g/1000 lb,grams per 1000 pounds,FALSE,NA,NA
g/1000 ml,grams per 1000 milliliters,FALSE,NA,NA
g/1000 org,grams per 1000 organisms,FALSE,NA,NA
g/13.5 L,grams per 13.5 liters,FALSE,NA,NA
g/13125 ft2,grams per 13125 square feet,FALSE,NA,NA
g/15 cm,grams per 15 centimeters,FALSE,NA,NA
g/150 sd,grams per 150 seeds,FALSE,NA,NA
g/16 L,grams per 16 liters,FALSE,NA,NA
g/1600 org,grams per 1600 organisms,FALSE,NA,NA
g/170 ml,grams per 170 milliliters,FALSE,NA,NA
g/189.25 L,grams per 189.25 liters,FALSE,NA,NA
g/2 L,grams per 2 liters,FALSE,NA,NA
g/2.25 m2,grams per 2.25 square meters,FALSE,NA,NA
g/2.5 kg soil,grams per 2.5 kilograms soil,FALSE,NA,NA
g/20 L,grams per 20 liters,FALSE,NA,NA
g/20 L diet,grams per 20 liters diet,FALSE,NA,NA
g/200 L,grams per 200 liters,FALSE,NA,NA
g/200 kg sd,grams per 200 kilograms seed,FALSE,NA,NA
g/200 m2,grams per 200 square meters,FALSE,NA,NA
g/200 ml,grams per 200 milliliters,FALSE,NA,NA
g/250 L,grams per 250 liters,FALSE,NA,NA
g/2500 cm2,grams per 2500 centimeters squared,FALSE,NA,NA
g/27 kg sd,grams per 27 kilograms seed,FALSE,NA,NA
g/3 gal soil,grams per 3 gallons soil,FALSE,NA,NA
g/3 kg seed,grams per 3 kilograms seed,FALSE,NA,NA
g/3.75 L,grams per 3.75 liters,FALSE,NA,NA
g/3.78 L,grams per 3.78 liters,FALSE,NA,NA
g/3.79 L,grams per 3.79 liters,FALSE,NA,NA
g/30.5 cm ht,grams per 30.5 centimeters plant height,FALSE,NA,NA
g/30.5 m,grams per 30.5 meters,FALSE,NA,NA
g/300 L/ha,grams per 300 liters per hectare,FALSE,NA,NA
g/300 g seed,grams per 300 grams seed,FALSE,NA,NA
g/305 m,grams per 305 meters,FALSE,NA,NA
g/37.9 L/0.1 ha,grams per 37.9 liters per 0.1 hectare,FALSE,NA,NA
g/379 L,grams per 379 liters,FALSE,NA,NA
g/387.5 L,grams per 387.5 liters,FALSE,NA,NA
g/4 d,grams per 4 days,FALSE,NA,NA
g/400 m,grams per 400 meters,FALSE,NA,NA
g/4000 cm3 soil,grams per 4000 cubic centimeters soil,FALSE,NA,NA
g/45.4 kg bdwt/d,grams per 45.4 kilograms body weight per day,FALSE,NA,NA
g/45.4 kg seed,grams per 45.4 kilograms seed,FALSE,NA,NA
g/454 g seed,grams per 454 grams seed,FALSE,NA,NA
g/4719 cm3 soil,grams per 4719 cubic centimeters soil,FALSE,NA,NA
g/4719 m3 soil,grams per 4719 cubic meters soil,FALSE,NA,NA
g/5 L,grams per 5 liters,FALSE,NA,NA
g/5 kg soil,grams per 5 kilograms soil,FALSE,NA,NA
g/5 m2,grams per 5 meters squared,FALSE,NA,NA
g/50 ml,grams per 50 milliliters,FALSE,NA,NA
g/50 org,grams per 50 organisms,FALSE,NA,NA
g/50 seeds,grams per 50 seeds,FALSE,NA,NA
g/500 g diet,grams per 500 grams diet,FALSE,NA,NA
g/500 ml,grams per 500 milliliters,FALSE,NA,NA
g/500 sd,grams per 500 seeds,FALSE,NA,NA
g/60 cm,grams per 60 centimeters,FALSE,NA,NA
g/7 kg,grams per 7 kilograms,FALSE,NA,NA
g/70 d,grams per 70 days,FALSE,NA,NA
g/800 ml,grams per 800 milliliters,FALSE,NA,NA
g/946 ml,grams per 946 milliliters,FALSE,NA,NA
g/BDAY,grams per bird-day,FALSE,NA,NA
g/FM,grams per female,FALSE,NA,NA
g/L H2O,grams per liter water,FALSE,NA,NA
g/L diet,grams per liter diet,FALSE,NA,NA
g/L soil,grams per liter soil,FALSE,NA,NA
g/LE,grams per leaf,FALSE,NA,NA
g/LIT,grams per litter,FALSE,NA,NA
g/ML,grams per male,FALSE,NA,NA
g/acre,grams per acre,FALSE,NA,NA
g/acre/100 L,grams per acre per 100 liters,FALSE,NA,NA
g/bdwt e0.75,grams per body weight * 1e0.75,FALSE,NA,NA
g/bee,grams per bee,FALSE,NA,NA
g/bushel,grams per bushel,FALSE,NA,NA
g/cc,grams per cocoon,FALSE,NA,NA
g/cm,grams per centimeter,FALSE,NA,NA
g/cm dbh,grams per centimeter diameter at breast height,FALSE,NA,NA
g/cm2,grams per square centimeter,FALSE,NA,NA
g/cm3,grams per cubic centimeter,FALSE,NA,NA
g/d,grams per day,FALSE,NA,NA
g/d/100 g bdwt,grams per day per 100 grams body weight,FALSE,NA,NA
g/d/100 kg org,grams per day per 100 kilograms organism,FALSE,NA,NA
g/d/org,grams per day per organism,FALSE,NA,NA
g/d/wght,grams per day per weight,FALSE,NA,NA
g/dl,grams per deciliter,FALSE,NA,NA
g/dn(Std),"grams per dunam, dunum or donum (Std 1000m2)",FALSE,NA,NA
g/eu,grams per experimental unit,FALSE,NA,NA
g/eu/d,gramss per experimental unit per day,FALSE,NA,NA
g/feddan,grams per feddan (1 feddan = 1.038 acres),FALSE,NA,NA
g/fish,grams per fish,FALSE,NA,NA
g/fruit,grams per fruit,FALSE,NA,NA
g/ft org,grams per foot of organism,FALSE,NA,NA
g/ft2,grams per square foot,FALSE,NA,NA
g/ft3,grams per cubic foot,FALSE,NA,NA
g/g TI,grams per gram tissue,FALSE,NA,NA
g/g bdwt,grams per gram body weight,FALSE,NA,NA
g/g bdwt/d,grams per gram body weight per day,FALSE,NA,NA
g/g diet,grams per gram diet,FALSE,NA,NA
g/g dry humus,grams per gram dry humus,FALSE,NA,NA
g/g org,grams per gram organism,FALSE,NA,NA
g/gal,grams per gallon,FALSE,NA,NA
g/gal/4 ft2 soil,grams per gallon per 4 square feet soil,FALSE,NA,NA
g/h,grams per hour,FALSE,NA,NA
g/hL,grams per hectoliter,FALSE,NA,NA
g/ha,grams per hectare,FALSE,NA,NA
g/hd,grams per hen day,FALSE,NA,NA
g/in dbh,grams per inch of diameter at breast height,FALSE,NA,NA
g/jv,grams per juvenile,FALSE,NA,NA
g/kg,grams per kilogram,FALSE,NA,NA
g/kg bdwt,grams per kilogram body weight,FALSE,NA,NA
g/kg bdwt/d,grams per kilogram body weight per day,FALSE,NA,NA
g/kg bdwt/h,grams per kilogram body weight per hour,FALSE,NA,NA
g/kg diet,grams per kilogram diet,FALSE,NA,NA
g/kg dry diet,grams per kilogram dry diet,FALSE,NA,NA
g/kg dry sd,grams per kilogram dry seed,FALSE,NA,NA
g/kg sd,grams per kilograms seed,FALSE,NA,NA
g/kg soil,grams per kilogram soil,FALSE,NA,NA
g/kg*e0.75 bdwt,grams per kg * 1e0.75 body weight,FALSE,NA,NA
g/kg/d,grams per kilogram per day,FALSE,NA,NA
g/km,grams per kilometer,FALSE,NA,NA
g/l/eu,grams per liter per experimental unit,FALSE,NA,NA
g/l/m2,grams per liter per square meter,FALSE,NA,NA
g/lb seed,grams per pound of seed,FALSE,NA,NA
g/linear ft,grams per linear foot,FALSE,NA,NA
g/m,grams per meter,FALSE,NA,NA
g/m2,grams per square meter,FALSE,NA,NA
g/m2 soil,grams per square meter soil,FALSE,NA,NA
g/ml/100 L,grams per milliliter per 100 liters,FALSE,NA,NA
g/ml/eu,grams per milliliter per experimental unit,FALSE,NA,NA
g/org,grams per organism,FALSE,NA,NA
g/org/42 d,grams per organism per 42 days,FALSE,NA,NA
g/org/d,grams per organism per day,FALSE,NA,NA
g/org/eu,grams per organism per experimental unit,FALSE,NA,NA
g/org/wk,grams per organism per week,FALSE,NA,NA
g/org/yr,grams per organism per year,FALSE,NA,NA
g/plot,grams per plot,FALSE,NA,NA
g/quadrant,grams per quadrant,FALSE,NA,NA
g/sample,grams per sample,FALSE,NA,NA
g/sd,grams per seed,FALSE,NA,NA
g/shell,grams per shell,FALSE,NA,NA
g/ton,grams per ton,FALSE,NA,NA
g/ug,grams per microgram,FALSE,NA,NA
g/wk,grams per week,FALSE,NA,NA
g/yd2,grams per square yard,FALSE,NA,NA
g/yr,grams per year,FALSE,NA,NA
gal,gallons,FALSE,NA,NA
gal/0.5 rod2,gallons per 0.5 square rods,FALSE,NA,NA
gal/100 gal,gallons per 100 gallons,FALSE,NA,NA
gal/ac f,gallons per acre foot,FALSE,NA,NA
gal/acre,gallons per acre,FALSE,NA,NA
gal/cwt,gallons per 100 weight,FALSE,NA,NA
gal/gal,gallon per gallon,FALSE,NA,NA
gal/yd2,gallons per square yard,FALSE,NA,NA
gamma/day,gamma/day (Von Bertalanffy growth),FALSE,NA,NA
gamma/g TI,gamma counts per gram tissue,FALSE,NA,NA
gg,gamma gamma,FALSE,NA,NA
gila:neuron,gila to neuron ratio,FALSE,NA,NA
grade,grade,FALSE,NA,NA
grain/panicle,grains per panicle,FALSE,NA,NA
granules,granules,FALSE,NA,NA
granules/kg bwt,granules per kilogram body weight,FALSE,NA,NA
h,hour,FALSE,NA,NA
hatchability,hatchability,FALSE,NA,NA
hsk:gr,ratio plant husk to grain,FALSE,NA,NA
hz,hertz,FALSE,NA,NA
hz/s,hertz per second,FALSE,NA,NA
implants,implants,FALSE,NA,NA
in,inches,FALSE,NA,NA
in2,inches squared,FALSE,NA,NA
inclusion,internuclear inclusion body,FALSE,NA,NA
index,index,FALSE,NA,NA
jv,juveniles,FALSE,NA,NA
jv/ad,juveniles per adult,FALSE,NA,NA
jv/cc,juveniles per cocoon,FALSE,NA,NA
jv/eu,juveniles per experimental unit,FALSE,NA,NA
jv/fm,juveniles per female,FALSE,NA,NA
jv/ftcc,juveniles per fertile cocoon,FALSE,NA,NA
jv/lit,juveniles per litter,FALSE,NA,NA
jv/mated fm,juvenile per mated female,FALSE,NA,NA
jv/nest,juveniles per nest,FALSE,NA,NA
jv/org,juveniles per organism,FALSE,NA,NA
jv/org/wk,juveniles per organisms per week,FALSE,NA,NA
k2/d,elimination rate constant 2 per day,FALSE,NA,NA
kBq,kiloBecquerels,FALSE,NA,NA
kBq/L,kiloBecquerels per liter,FALSE,NA,NA
kBq/dm3,kiloBecquerels per cubic decimeter,FALSE,NA,NA
kBq/eu,KiloBecquerels per experimental unit,FALSE,NA,NA
kBq/kg soil,kiloBecquerels per kilogram soil,FALSE,NA,NA
kBq/ml,kiloBecquerels per milliliter,FALSE,NA,NA
kJ/d/org,kiloJoules per day per organism,FALSE,NA,NA
kJ/kg bdwt,kiloJoules per kilogram body weight,FALSE,NA,NA
kJ/kg bdwt/d,kiloJoules per kilogram body weight per day,FALSE,NA,NA
ka/d,elimination rate constant a per day,FALSE,NA,NA
kcal,kilocalories,FALSE,NA,NA
kcal/100 g,kilocalories per 100 grams,FALSE,NA,NA
kcal/d,kilocalories per day,FALSE,NA,NA
kg,kilograms,FALSE,NA,NA
kg bt/ha,kilograms bait per hectare,FALSE,NA,NA
kg bt/m2,kilograms bait per square meter,FALSE,NA,NA
kg conc/d,kilograms of concentrate per day,FALSE,NA,NA
kg plt/ha,kilograms pellet per hectare,FALSE,NA,NA
kg silage/d,kilograms of silage per day,FALSE,NA,NA
kg/0.5 m2,kilograms per 0.5 square meters,FALSE,NA,NA
kg/10 ac,kilograms per 10 acres,FALSE,NA,NA
kg/100 L,kilograms per 100 liters,FALSE,NA,NA
kg/100 kg sd,kilograms per 100 kilograms seed,FALSE,NA,NA
kg/100 m2,kilograms per 100 square meters,FALSE,NA,NA
kg/11 m,kilograms per 11 meters,FALSE,NA,NA
kg/2000 L,kilograms per 2000 liters,FALSE,NA,NA
kg/3.78 L,kilograms per 3.78 liters,FALSE,NA,NA
kg/300 L/ha,kilograms per 300 liters per hectare,FALSE,NA,NA
kg/50 m,kilograms per 50 meters,FALSE,NA,NA
kg/500 m2,kilograms per 500 square meters,FALSE,NA,NA
kg/9.3 m2,kilograms per 9.3 square meters,FALSE,NA,NA
kg/9.9 m2,kilograms per 9.9 square meters,FALSE,NA,NA
kg/L,kilograms per liter,FALSE,NA,NA
kg/ac,kilograms per acre,FALSE,NA,NA
kg/cwt sd,kilograms per hundredweight seed,FALSE,NA,NA
kg/d,kilograms per day,FALSE,NA,NA
kg/eu,kilograms per experimental unit,FALSE,NA,NA
kg/feddan,kilograms per feddan (1 feddan = 1.038 acres),FALSE,NA,NA
kg/hL,kilograms per hektoliter (hectoliter),FALSE,NA,NA
kg/ha,kilograms per hectare,FALSE,NA,NA
kg/ha/yr,kilograms per hectare per year,FALSE,NA,NA
kg/m,kilograms per meter,FALSE,NA,NA
kg/m2,kilograms per square meter,FALSE,NA,NA
kg/m3,kilograms per cubic meter,FALSE,NA,NA
kg/mi2/mo,kilograms per square mile per month,FALSE,NA,NA
kg/mm,kilograms per millimeter,FALSE,NA,NA
kg/mu,kilograms per mu,FALSE,NA,NA
kg/org,kilograms per organism,FALSE,NA,NA
kg/org/d,kilograms per organism per day,FALSE,NA,NA
kg/t diet,kilograms per ton diet,FALSE,NA,NA
kg/ton sd,kilograms per ton seed,FALSE,NA,NA
kg/ton tubers,kilograms per ton of tubers,FALSE,NA,NA
kg/wk,kilograms per week,FALSE,NA,NA
kmol/m3,kilomoles per cubic meter,FALSE,NA,NA
l/24 h,liters per 24 hours,FALSE,NA,NA
l/hl,liters per hectoliter,FALSE,NA,NA
l/l,liter per liter,FALSE,NA,NA
l/mi,liter per minute,FALSE,NA,NA
l/s,liter per second,FALSE,NA,NA
lamellae/axon,lamellae per axon,FALSE,NA,NA
layers,layers,FALSE,NA,NA
lb,pounds,FALSE,NA,NA
lb bt/acre,pounds bait per acre,FALSE,NA,NA
lb/100 ft2,pounds per 100 square feet,FALSE,NA,NA
lb/100 gal,pounds per 100 gallons,FALSE,NA,NA
lb/100 gal/acre,pounds per 100 gallons per acre,FALSE,NA,NA
lb/100 lb sd,pounds per 100 pounds seed,FALSE,NA,NA
lb/100 yd2,pounds per 100 square yards,FALSE,NA,NA
lb/1000 ft2,pounds per 1000 square feet,FALSE,NA,NA
lb/1000 ft3,pounds per 1000 cubic feet,FALSE,NA,NA
lb/11 gal/acre,pound per 11 gallons per acre,FALSE,NA,NA
lb/40 gal,pounds per 40 gallons,FALSE,NA,NA
lb/5 gal/acre,pounds per 5 gallons per acre,FALSE,NA,NA
lb/90 ft2,pounds per 90 square feet,FALSE,NA,NA
lb/ac ft,pounds per acre foot,FALSE,NA,NA
lb/acre,pounds per acre,FALSE,NA,NA
lb/cwt sd,pounds per hundred weight seed,FALSE,NA,NA
lb/d,pound per day,FALSE,NA,NA
lb/eu,ponuds per experimental unit,FALSE,NA,NA
lb/ft2,pounds per square feet,FALSE,NA,NA
lb/ft3,pounds per cubic foot,FALSE,NA,NA
lb/gal,pounds per gallon,FALSE,NA,NA
lb/gal/acre,pounds per gallon per acre,FALSE,NA,NA
lb/org/d,pounds per organism per day,FALSE,NA,NA
lb/plot,pounds per plot,FALSE,NA,NA
lb/rod2,pounds per square rod,FALSE,NA,NA
lbs ae/ac,pounds acid equivalent per acre,FALSE,NA,NA
lf prog/lf intl,ratio of live females per live females initial,FALSE,NA,NA
lit,litters,FALSE,NA,NA
lit/pr,litters per pair,FALSE,NA,NA
litter %,litter percent,FALSE,NA,NA
lm prog/lm intl,ratio of live males per live males initial,FALSE,NA,NA
ln(Wf/Wi),natural log(mean survivor weight/mean initial weight),FALSE,NA,NA
log 10 ug/g org,log 10 micrograms per gram organism,FALSE,NA,NA
log rel,log relative activity/intensity,FALSE,NA,NA
log s,log time in seconds,FALSE,NA,NA
log2,log squared,FALSE,NA,NA
log2 titers,log2 titers,FALSE,NA,NA
lprog/lprog itl,ratio of live progeny per live progeny initial,FALSE,NA,NA
m enz act/mg,millienzyme activity per milligram,FALSE,NA,NA
m/m,mass per mass,FALSE,NA,NA
m/s,meters per second,FALSE,NA,NA
m3,cubic meters,FALSE,NA,NA
m3/ha,cubic meters per hectare,FALSE,NA,NA
mBq,milliBecquerels,FALSE,NA,NA
mBq/ml,milliBecquerels per milliliter,FALSE,NA,NA
mCi,milliCuries,FALSE,NA,NA
mCi mg,milliCuries milligram,FALSE,NA,NA
mCi/kg,microCurie per kilogram,FALSE,NA,NA
mCi/mg,milliCuries per milligram,FALSE,NA,NA
mCi/ml,milliCuries per milliliter,FALSE,NA,NA
mCi/mmol,milliCuries per millimoles,FALSE,NA,NA
mIU/kg bdwt/h,milliInternational Units per kilogram body weight per hour,FALSE,NA,NA
mIU/kg/h,milliInternational Units per kilogram per hour,FALSE,NA,NA
mM,milliMolar (millimoles per liter),FALSE,NA,NA
mM diet,milliMolar diet,FALSE,NA,NA
mM/kg,millimolar per kilogram,FALSE,NA,NA
mN,millinormal,FALSE,NA,NA
mOsm,milliosmoles,FALSE,NA,NA
mOsm/kg,milliosmoles per kilogram,FALSE,NA,NA
mS/cm,milli Siemens per centimeter,FALSE,NA,NA
mU,International milliunits (nmol substrate transformed/min/ml),FALSE,NA,NA
mU/24 h,milliUnits per 24 hours,FALSE,NA,NA
mU/24 h/kg,milliunit per 24 hours per kilogram,FALSE,NA,NA
mU/d,microunits per day,FALSE,NA,NA
mU/g,milliUnits per gram organism,FALSE,NA,NA
mU/mg pro,microUnits per milligram protein,FALSE,NA,NA
mU/ml,milliunit per milliliter,FALSE,NA,NA
mU/org,milliunit per organism,FALSE,NA,NA
mW,milliwatts,FALSE,NA,NA
maturity index,maturity index,FALSE,NA,NA
meq,milliequivalents,FALSE,NA,NA
meq/100 g,milliequivalents per 100 grams,FALSE,NA,NA
meq/100 g soil,milliequivalents per 100 grams soil,FALSE,NA,NA
meq/L,milliequivalents per liter,FALSE,NA,NA
meq/eu,milliequivalents per experimental unit,FALSE,NA,NA
meq/g,milliequivalents per gram,FALSE,NA,NA
meq/kg,milliequivalents per kilogram,FALSE,NA,NA
metric t/ha,metric tons per hectare,FALSE,NA,NA
mg,milligrams,FALSE,NA,NA
mg %,milligrams percent,FALSE,NA,NA
mg C/g OM,milligrams carbon per gram organic matter,FALSE,NA,NA
mg C2H4/eu/d,milligrams of ethylene produced per experimental unit per day,FALSE,NA,NA
mg C2H4/eu/h,milligrams of ethylene produced per experimental unit per hour,FALSE,NA,NA
mg CO2/100 g soil,milligrams carbon dioxide per 100 grams of soil,FALSE,NA,NA
mg CO2/dm2/h,milligrams carbon dioxide per square decameter per hour,FALSE,NA,NA
mg CO2/h/g,milligrams carbon dioxide per hour per gram,FALSE,NA,NA
mg CO2/m2/sec,milligrams carbon dioxide per square meter per second,FALSE,NA,NA
mg N/100 ml,milligrams nitrogen per 100 milliliter,FALSE,NA,NA
mg NH3/g org,milligrams ammonia per gram organism,FALSE,NA,NA
mg NH3/g org/h,milligrams ammonia per gram of organism per day,FALSE,NA,NA
mg O2/g org,milligrams oxygen per gram organism,FALSE,NA,NA
mg O2/g org/h,milligrams oxygen per gram of organism per day,FALSE,NA,NA
mg P/100 g,milligrams phosphorus per 100 grams,FALSE,NA,NA
mg P/h/g TI,milligrams phosphorus per hour per gram tissue,FALSE,NA,NA
mg TI/g bdwt,milligrams tissue per gram body weight,FALSE,NA,NA
mg TI/kg bdwt,milligrams tissue per kilogram body weight,FALSE,NA,NA
mg co2/hr/g ndl,milligrams carbon dioxide per hour per gram of needles,FALSE,NA,NA
mg diet,milligrams diet,FALSE,NA,NA
mg diet/d,milligrams diet per day,FALSE,NA,NA
mg h/L,milligrams hours per liter,FALSE,NA,NA
mg pro/g,milligrams protein per gram,FALSE,NA,NA
mg pro/mi,milligrams protein per minute,FALSE,NA,NA
mg urea/g org,milligrams urea per gram organism,FALSE,NA,NA
mg urea/g org/h,milligrams urea per gram of organism per day,FALSE,NA,NA
mg%,milligram %,FALSE,NA,NA
mg/%,milligrams per percent,FALSE,NA,NA
mg/0.5 cm3,milligrams per 0.5 cubic centimeters,FALSE,NA,NA
mg/1.2 kg soil,milligrams per 1.2 kilograms soil,FALSE,NA,NA
mg/10 L,milligrams per 10 liters,FALSE,NA,NA
mg/10 g,milligrams per 10 grams,FALSE,NA,NA
mg/10 g bdwt,milligrams per 10 grams body weight,FALSE,NA,NA
mg/10 g diet,milligrams per 10 grams diet,FALSE,NA,NA
mg/10 g org,milligrams per 10 grams organism,FALSE,NA,NA
mg/10 g sd,milligrams per 10 grams seed,FALSE,NA,NA
mg/10 g soil,milligrams per 10 grams soil,FALSE,NA,NA
mg/10 ml,milligrams per 10 milliliters,FALSE,NA,NA
mg/100 L,milligrams per 100 liters,FALSE,NA,NA
mg/100 cm2,milligrams per 100 square centimeters,FALSE,NA,NA
mg/100 g,milligrams per 100 grams,FALSE,NA,NA
mg/100 g bw,milligrams per 100 grams body weight,FALSE,NA,NA
mg/100 g bw/d,milligrams per 100 grams body weight/day,FALSE,NA,NA
mg/100 g diet,milligrams per 100 grams diet,FALSE,NA,NA
mg/100 g org,milligrams per 100 grams organism,FALSE,NA,NA
mg/100 g sd,milligrams per 100 grams seed,FALSE,NA,NA
mg/100 g soil,milligrams per 100 grams soil,FALSE,NA,NA
mg/100 g/d,milligrams per 100 grams per day,FALSE,NA,NA
mg/100 kg bdwt,milligrams per 100 kilograms body weight,FALSE,NA,NA
mg/100 kg org,milligrams per 100 kilograms of organism,FALSE,NA,NA
mg/100 lb/d,milligrams per 100 pounds per day,FALSE,NA,NA
mg/100 lbs,milligrams per 100 pounds,FALSE,NA,NA
mg/100 mg TI,milligrams per 100 milligrams tissue,FALSE,NA,NA
mg/100 ml,milligrams per 100 milliliters,FALSE,NA,NA
mg/100 ml diet,milligrams per 100 milliliters diet,FALSE,NA,NA
mg/12 h,milligrams per 12 hours,FALSE,NA,NA
mg/15 cm3,milligrams per 15 cubic centimeters,FALSE,NA,NA
mg/15 g diet,milligrams per 15 grams diet,FALSE,NA,NA
mg/150 ml,milligrams per 150 milliliters,FALSE,NA,NA
mg/2.5 cm dia,milligrams per 2.5 centimeter diameter,FALSE,NA,NA
mg/20 cm3,milligrams per 20 cubic centimeters,FALSE,NA,NA
mg/24 h,milligrams per 24 hours,FALSE,NA,NA
mg/24 h/kg,milligrams per 24 hours per kilogram,FALSE,NA,NA
mg/25 mL,milligrams per 25 milliliters,FALSE,NA,NA
mg/250 g bdwt,milligrams per 250 grams body weight,FALSE,NA,NA
mg/250 ml,milligrams per 250 milliliters,FALSE,NA,NA
mg/3 L soil,milligrams per 3 liters soil,FALSE,NA,NA
mg/3 kg,milligrams per 3 kilograms,FALSE,NA,NA
mg/3 kg soil,milligrams per 3 kilograms soil,FALSE,NA,NA
mg/3 ml,milligrams per 3 milliliters,FALSE,NA,NA
